state,hbcus
Alabama,14
Alaska,0
Arkansas,3
Arizona,0
California,0
Colorado,0
Connecticut,0
Delaware,1
Florida,4
Georgia,8
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,2
Louisiana,6
Maine,0
Maryland,4
Massachusetts,0
Michigan,0
Minnesota,0
Missouri,2
Mississippi,6
Montana,0
North Carolina,10
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
New York,0
Ohio,2
Oklahoma,1
Oregon,0
Pennsylvania,2
Rhode Island,0
South Carolina,8
South Dakota,0
Tennessee,6
Texas,8
Utah,0
Virginia,5
Vermont,0
Washington,0
Wisconsin,0
West Virginia,2
Wyoming,0